amenity,name,cuisine,longitude,latitude
bar,N/A,N/A,-74.0776,4.6169
bar,Fábrica,N/A,-74.0723,4.6335
bar,Cheers,N/A,-74.0725,4.6335
bar,Don Honorio,N/A,-74.0768,4.6234
bar,Bar Los Pubertos,N/A,-74.0681,4.6291
bar,Daniela de la 19,N/A,-74.0734,4.6068
bar,Tropical Bar,N/A,-74.0734,4.6073
bar,vista Corona,N/A,-74.0487,4.6762
bar,N/A,N/A,-74.0523,4.7225
bar,N/A,N/A,-74.0527,4.7225
bar,Bogotá Beer Company - LA BODEGA,N/A,-74.0663,4.6309
bar,19-25,N/A,-74.0617,4.638
bar,AMNESIA,N/A,-74.1446,4.5988
bar,CINDAMING,N/A,-74.1446,4.5987
bar,N/A,N/A,-74.0898,4.5871
bar,Colombia beer,N/A,-74.0694,4.6036
bar,BBC cerveceria,N/A,-74.1299,4.6448
bar,El Goce Pagano,N/A,-74.0651,4.6034
bar,Bogotá Béer Company,N/A,-74.0664,4.614
bar,Brinca Brinca,N/A,-74.0544,4.6699
bar,Cervecería Lateral Candelaria,N/A,-74.0721,4.5999
